Date        TakeOff  From  To   Landing  ArriveDate  Duration  Cost  Flight
2024-07-04  23:15    NOU   SIN  05:35    2024-07-05  09:20      410  SB700
2024-07-06  01:40    SIN   DXB  04:55    2024-07-06  07:15      260  EK349
2024-07-06  08:20    DXB   CPH  13:15    2024-07-06  06:55      260  EK151
2024-07-08  12:30    CPH   KEF  13:50    2024-07-08  03:20      280  OG901
2024-07-24  10:30    KEF   AMS  15:45    2024-07-24  03:15      270  FI506
2024-07-27  14:20    AMS   TBS  21:05    2024-07-27  04:45      360  HV6641
2024-08-11  14:15    TBS   DOH  16:20    2024-08-11  03:05      210  QR256
2024-08-11  18:05    DOH   MNL  08:25    2024-08-12  09:20      400  QR934
2024-08-21  20:35    MNL   SYD  06:40    2024-08-22  08:05      520  QF20
2024-08-22  08:55    SYD   AKL  14:00    2024-08-22  03:05      230  QF143
2024-08-31  17:45    AKL   ZQN  19:40    2024-08-31  01:55      100  NZ625
2024-09-04  15:05    ZQN   AKL  16:55    2024-09-04  01:50      100  NZ634
2024-09-08  13:05    AKL   NOU  15:05    2024-09-08  03:05      330  NZ932
